FID,OBJECTID,ISO,NAME_0,Continent,REgion,Shape__Area,Shape__Length
1,1,AGO,Angola,Africa, ,1319275625736.23,8268691.48474777
2,2,ATF,French Southern Territories,Africa, ,18211811990.4048,5408333.87674692
3,3,BDI,Burundi,Africa,Eastern_Africa,27238231222.074,1133304.9827498
4,4,BEN,Benin,Africa, ,119606376683.47,2250046.34098315
5,5,BFA,Burkina Faso,Africa, ,289727785978.132,3501052.26612777
6,6,BWA,Botswana,Africa, ,678571512594.134,4373779.62032149
7,7,CAF,Central African Republic,Africa, ,633018565280.879,5493517.69101176
8,8,CIV,Côte d'Ivoire,Africa, ,329747961003.517,3921847.34526964
9,9,CMR,Cameroon,Africa, ,474652560628.13,6930179.79185349
10,10,COD,Democratic Republic of the Congo,Africa, ,2363440094090.75,10630445.2730922
11,11,COG,Republic of Congo,Africa, ,344598144170.179,4695935.9765069
12,12,COM,Comoros,Africa, ,1758210144.73486,606876.183076092
13,13,CPV,Cape Verde,Africa, ,4451375526.62354,1511410.40061529
14,14,DZA,Algeria,Africa, ,3001998206181.46,9839385.96631422
15,15,EGY,Egypt,Africa, ,1238233760056.68,8391112.60585747
16,16,ERI,Eritrea,Africa,Eastern_Africa,129733964604.84,6166021.34323383
17,17,ESH,Western Sahara,Africa, ,325625944903.662,3901211.73457437
18,18,ETH,Ethiopia,Africa,Eastern_Africa,1167157456812.32,5499434.79435197
19,19,GAB,Gabon,Africa, ,266594243274.502,4938932.67539268
20,20,GHA,Ghana,Africa, ,244776514326.961,3423972.02307412
21,21,GIN,Guinea,Africa, ,254667528961.489,5993402.1010419
22,22,GMB,Gambia,Africa, ,11375999034.231,1233577.06209186
23,23,GNB,Guinea-Bissau,Africa, ,35561371237.3683,5712825.5531146
24,24,GNQ,Equatorial Guinea,Africa, ,27228329649.8764,1207349.31887155
25,25,KEN,Kenya,Africa,Eastern_Africa,586568270389.443,5393695.17852351
26,26,LBR,Liberia,Africa, ,97807082068.3834,2475798.6922799
27,27,LBY,Libya,Africa, ,2052464250190.64,8036098.4905201
28,28,LSO,Lesotho,Africa, ,40408350168.8594,996376.18125216
29,29,MAR,Morocco,Africa, ,575686266176.871,5896621.32718963
30,30,MDG,Madagascar,Africa, ,670441754646.284,13321526.6639777
31,31,MLI,Mali,Africa, ,1385453157851.77,7797703.46817655
32,32,MOZ,Mozambique,Africa,Southern Africa,872029959032.623,14175776.8743578
33,33,MRT,Mauritania,Africa, ,1192757516210.51,6949904.74937407
34,34,MUS,Mauritius,Africa, ,2312262048.9873,746774.234850934
35,35,MWI,Malawi,Africa,Southern Africa,125409597083.637,3021198.5046994
36,36,MYT,Mayotte,Africa, ,414455145.88623,320438.164257972
37,37,NAM,Namibia,Africa, ,968619399248.302,6777279.70412109
38,38,NER,Niger,Africa, ,1310652880730.52,5982515.36509581
39,39,NGA,Nigeria,Africa, ,941439494667.395,13761596.6747513
40,40,REU,Reunion,Africa, ,2902491672.29297,299818.181817104
41,41,RWA,Rwanda,Africa,Eastern_Africa,25461682556.8367,958163.087467276
42,42,SDN,Sudan,Africa,Eastern_Africa,2046729282089.61,9441116.53020714
43,43,SEN,Senegal,Africa, ,210442601272.635,5101789.89874461
44,44,SLE,Sierra Leone,Africa, ,74734930987.5885,2780472.27677784
45,45,SOM,Somalia,Africa,Eastern_Africa,646522225931.652,7182698.17964536
46,46,SSD,South Sudan,Africa,Eastern_Africa,646927599971.183,5155804.29960392
47,47,STP,Sao Tome and Principe,Africa, ,1009119214.06929,363880.430736779
48,48,SWZ,Swaziland,Africa, ,21700413991.082,609602.731780762
49,49,SYC,Seychelles,Africa, ,504707301.62915,991275.962182517
50,50,TCD,Chad,Africa, ,1380459560207.2,6321490.68957433
51,51,TGO,Togo,Africa, ,58685556221.8208,1763917.95435168
52,52,TUN,Tunisia,Africa, ,226764388172.346,5029529.28380582
53,53,TZA,Tanzania,Africa,Eastern_Africa,961479166769.703,8058000.01386378
54,54,UGA,Uganda,Africa,Eastern_Africa,243314661446.11,2798366.01413744
55,55,ZAF,South Africa,Africa, ,1606290149488.04,11481687.5138357
56,56,ZMB,Zambia,Africa,Southern Africa,800449239804.844,6102544.39884362
57,57,ZWE,Zimbabwe,Africa,Southern Africa,439668563441.069,3216001.43034957
